ID,﻿Gender,NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,Username,Birthday,BrowserUserAgent,Kilograms,Centimeters,Latitude,Longitude,BloodType,Vehicle,Domain,Occupation
11,male,Brazil,Mr.,João,A,Oliveira,Travessa Centenário 288,Teófilo Otoni,MG,Minas Gerais,Hourn1988,9/3/1988,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:67.0) Gecko/20100101 Firefox/67.0,86.4,175,-17.631556,-41.428766,O+,1994 Peugeot 504,DeadTelevision.com.br,Library aide
12,female,Brazil,Ms.,Emilly,A,Oliveira,Passagem Santa Luzia 962,Belém,PA,Pará,Exciou,5/28/1947,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.86 YaBrowser/19.4.0.2397 Yowser/2.5 Safari/537.36",53.6,168,-1.276408,-48.41453,O+,2001 Volkswagen Sharan,TacomaCardiology.com.br,Computer technology trainer
13,female,Brazil,Mrs.,Emilly,G,Cardoso,Rua Caetano Ragonha 1943,Limeira,SP,São Paulo,Thdow1981,1/4/1981,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0,57.9,174,-22.66996,-47.356649,A+,1995 Subaru Alfa,NoPores.com.br,Data processor
14,male,Brazil,Mr.,Igor,S,Pinto,Rua Trópicos 578,Pará de Minas,MG,Minas Gerais,Andill44,6/25/1944,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36",67.2,175,-19.819295,-44.672564,O+,2006 SsangYong Musso,ExitOption.com.br,Desktop publisher
15,male,Brazil,Mr.,Diogo,G,Almeida,Vila Gabriel Palau 1279,Jacareí,SP,São Paulo,Faideringed,10/29/1964,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",70.9,186,-23.25166,-45.909947,B+,1993 Subaru Legacy,DomainConfessions.com.br,Process technician
16,female,Brazil,Mrs.,Maria,S,Silva,Rua I 1049,Belo Horizonte,MG,Minas Gerais,Prominted,1/30/1960,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",100.1,157,-19.902591,-44.015557,O+,2004 Mazda Spiano,CarbVille.com.br,Computer systems administrator
17,male,Brazil,Mr.,Bruno,C,Ferreira,Travessa dos Transmissores 1955,Natal,RN,Rio Grande do Norte,Haror1952,4/23/1952,Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0,68.3,182,-5.764221,-35.292564,B+,2001 Proton 300,MealSpecialties.com.br,Training and development specialist
18,female,Brazil,Mrs.,Raissa,S,Azevedo,Rua Cento e Cinco 1582,Alvorada,RS,Rio Grande do Sul,Rathany,4/29/1946,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",81.3,164,-29.95831,-51.073048,O+,2011 Ford Expedition,SprayLotions.com.br,Technical communications specialist
19,male,Brazil,Mr.,Vitor,A,Souza,Rua do Colibri 1605,Colombo,PR,Paraná,Quing1992,3/22/1992,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36",97.5,182,-25.322721,-49.076828,O+,2007 Subaru Outback,GlobalBash.com.br,Aerobics instructor
20,male,Brazil,Mr.,Arthur,M,Ferreira,Rua da Hierarquia 1090,Olinda,PE,Pernambuco,Paturs,11/29/1991,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0,96.9,179,-8.081361,-34.916887,O+,1997 Ford Escort,TrekVille.com.br,Glass repairer
21,female,Brazil,Mrs.,Carolina,C,Oliveira,Rua Eugenira 376,São Gonçalo,RJ,Rio de Janeiro,Lossing,3/19/1998,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",74.3,170,-22.871038,-43.070302,O+,2009 BMW X6,Proor.com.br,Plating and coating machine tender
22,male,Brazil,Mr.,Rafael,C,Oliveira,Rua Raimunda Barbosa 54,Manaus,AM,Amazonas,Grothented,3/24/1943,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36",75.2,174,-2.615468,-60.170642,AB+,2008 Cadillac XLR,Gigarank.com.br,Orthopedic nurse
23,female,Brazil,Ms.,Lara,C,Gomes,Rua João Ferreira Cardoso 1580,Belo Horizonte,MG,Minas Gerais,Bronds,11/28/1997,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0,88.6,172,-19.934068,-43.874333,O-,1995 Daewoo Arcadia,PunkMovement.com.br,Electrocardiograph (EKG) technician
24,female,Brazil,Ms.,Carla,F,Sousa,Rua João Luiz Rodrigues 496,Guarulhos,SP,São Paulo,Acceent,8/31/1968,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",61.5,172,-23.318816,-46.444698,B+,2001 Lotec C 1000,SUV101.com.br,Nutrition director
25,female,Brazil,Ms.,Evelyn,P,Gomes,Travessa São Bernardo 1623,Salvador,BA,Bahia,Vailes,1/3/1967,"Mozilla/5.0 (iPad; CPU OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Mobile/15E148 Safari/604.1",64.0,163,-12.950939,-38.403731,B-,2007 Jeep Compass,MysterySinger.com.br,Scraper operator
26,male,Brazil,Mr.,Caio,R,Costa,Rua São João Batista 1140,Salvador,BA,Bahia,Themen1958,12/24/1958,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",107.9,168,-12.86836,-38.549178,A+,1995 Suzuki Vitara,WebsiteCD.com.br,Oncology nurse
27,female,Brazil,Ms.,Fernanda,R,Melo,Rua das Rosas 1646,São Paulo,SP,São Paulo,Brionvaved,6/30/1956,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/73.0.3683.86 Chrome/73.0.3683.86 Safari/537.36",74.3,158,-23.625719,-46.552276,O+,2000 Porsche Carrera GT,SingleApartment.com.br,Floor installer
28,male,Brazil,Mr.,Samuel,R,Fernandes,Rua Aurora 1199,Santarém,PA,Pará,Wasta1999,11/19/1999,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",96.1,190,-2.955791,-54.860479,A+,2004 Honda Pilot,Bloggingville.com.br,Sewage treatment plant operator
29,male,Brazil,Mr.,Rafael,S,Ribeiro,Rua Anhanguera 392,Montes Claros,MG,Minas Gerais,Ourection,1/26/1955,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0,86.0,171,-16.605522,-43.80169,B+,2010 Volvo C70,AromatherapyDepot.com.br,Mobile heavy equipment mechanic
30,female,Brazil,Ms.,Livia,F,Oliveira,Travessa A 1954,Ananindeua,PA,Pará,Therem97,2/22/1997,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36",50.2,166,-1.353134,-48.41784,O-,2001 BMW 745,TartFood.com.br,Diesel service technician
31,female,Brazil,Ms.,Anna,R,Martins,Quadra QR 325 Conjunto 10 1932,Samambaia,DF,Distrito Federal,Satterep,12/22/1989,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.3 Safari/605.1.15",84.6,156,-23.051498,-47.453356,B+,2003 Mazda 323,GamingRecruiter.com.br,Entomologist
32,male,Brazil,Mr.,Júlio,G,Melo,Rua Soldado Geraldo Elias 1556,Guarulhos,SP,São Paulo,Darromed,6/5/1979,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0,95.9,188,-23.411909,-46.53129,B+,2008 Lexus RX,SurfaceSpots.com.br,Special education teacher
33,female,Brazil,Mrs.,Manuela,S,Cunha,Rua Presidente Juscelino 697,Belo Horizonte,MG,Minas Gerais,Younbuthouse,2/1/1938,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",61.4,156,-19.864839,-43.949423,A+,2009 BMW 316,OrthoDeals.com.br,Gaming surveillance officer
34,male,Brazil,Mr.,Thiago,P,Oliveira,Rua Vitória 681,Blumenau,SC,Santa Catarina,Theresurste1956,3/3/1956,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",101.3,177,-26.943269,-49.072176,B+,2000 BMW 528,SeriesSearch.com.br,Septic tank servicer
35,female,Brazil,Dr.,Manuela,S,Cavalcanti,Rua Doutor Osório Guimarães 103,São Paulo,SP,São Paulo,Sibrody,10/9/1953,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",74.8,160,-23.639091,-46.721014,O+,2001 Fiat Stilo,VoiceOptics.com.br,Boatswain
36,female,Brazil,Mrs.,Leila,C,Dias,Rua Abelardo Manoel Peixer 1218,São José,SC,Santa Catarina,Grallot,7/14/1940,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",69.8,161,-27.678406,-48.743499,B+,1999 Suzuki Baleno,SecretarySupplies.com.br,Electrologist
37,male,Brazil,Mr.,Luis,G,Castro,Rua Waldemar Martins 192,São Paulo,SP,São Paulo,Samoke,10/16/1937,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",75.9,173,-23.583031,-46.605545,A+,1995 AC Ace,KittenExchange.com.br,"Crushing, grinding, and polishing machine operator"
38,male,Brazil,Mr.,Caio,D,Azevedo,Rua S 1150,Cuiabá,MT,Mato Grosso,Afterendis,4/9/1950,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",63.1,176,-15.36123,-55.810119,B+,2008 Volkswagen GLI,CoopReviews.com.br,Composer
39,female,Brazil,Mrs.,Manuela,P,Rocha,Quadra Quadra 08 Conjunto L 1680,Paranoá,DF,Distrito Federal,Goodst,9/17/1974,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",76.0,158,-15.737794,-47.816154,B+,2011 Mercury Milan,JokeRule.com.br,Pulmonary function technologist
40,female,Brazil,Ms.,Rafaela,L,Correia,Avenida Sergipana 895,Salvador,BA,Bahia,Lifesigh,5/1/2001,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",47.7,158,-12.913123,-38.47963,O+,1993 De Tomaso Guara,ShopBankers.com.br,Economist
41,female,Brazil,Mrs.,Fernanda,C,Cunha,Rua Siqueira Campos 1629,Birigüi,SP,São Paulo,Dostaingive,9/24/2001,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",55.1,168,-21.196558,-50.261781,B+,2008 Hyundai Tiburon,OrganicFlu.com.br,Pesticide vegetation
42,male,Brazil,Mr.,Lucas,C,Costa,Travessa Xerex 647,Sobral,CE,Ceará,Therld57,6/26/1957,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0,110.1,169,-3.888193,-40.085522,O+,1993 Lotus Esprit,AviationTales.com.br,Offset lithographic press operator
43,male,Brazil,Dr.,Erick,C,Cardoso,Praça Dom Augusto Alvaro da Silva 1067,São Paulo,SP,São Paulo,Useek1968,7/28/1968,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.108 Safari/537.36",83.4,175,-23.664196,-46.54274,A+,1996 Toyota Supra,DrugHigh.com.br,"Molding, coremaking, and casting machine operator"
44,female,Brazil,Ms.,Alice,O,Costa,Praça Emílio Abunaman 128,Niterói,RJ,Rio de Janeiro,Doody1961,9/8/1961,Mozilla/5.0 (Windows NT 5.1; rv:52.0) Gecko/20100101 Firefox/52.0,90.7,166,-22.940939,-43.029746,AB+,2011 Ford Flex,EverydayCleaners.com.br,Physical geographer
45,male,Brazil,Mr.,Enzo,P,Correia,Rua Deocleciano Sampaio 747,Itumbiara,GO,Goiás,Buls1980,4/14/1980,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",82.6,169,-18.408476,-49.425264,O-,1993 Chevrolet S-10,MyMultiple.com.br,Practical nurses
46,female,Brazil,Mrs.,Sarah,F,Correia,Rua Marechal Deodoro 165,João Monlevade,MG,Minas Gerais,Cals1967,12/25/1967,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",84.8,160,-19.93394,-43.177084,O+,2015 Volkswagen Golf,MaleMinds.com.br,Rolling machine operator
47,female,Brazil,Mrs.,Maria,A,Almeida,Rua Guarapari 655,Novo Hamburgo,RS,Rio Grande do Sul,Fiedill88,2/4/1988,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",90.6,164,-29.680663,-51.147607,A+,1998 Citroen Saxo,LawFanatic.com.br,Payroll specialist
48,female,Brazil,Mrs.,Mariana,G,Carvalho,Rua Severino Soares 35,Patos,PB,Paraíba,Fingrifuread1987,8/1/1987,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",92.9,162,-7.054922,-37.428848,A+,2003 Jaguar XK,OvernightStar.com.br,Air traffic controller
49,female,Brazil,Ms.,Lavinia,G,Pinto,Vila Nascimento 901,Itajubá,MG,Minas Gerais,Themakfal1960,4/9/1960,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",65.3,167,-22.331217,-45.377289,A+,2009 Mercedes-Benz SLK,SatelliteProduct.com.br,Textile knitting and weaving machine operator
50,male,Brazil,Mr.,Kauã,A,Pinto,Travessa Vinte e Três de Fevereiro 1818,Salvador,BA,Bahia,Herecintedid,4/19/1993,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0,82.9,176,-12.876449,-38.451179,B+,2007 Suzuki Aerio,FranchiseRank.com.br,Parole officer
51,female,Brazil,Ms.,Aline,A,Dias,Rua Sobrália 531,Natal,RN,Rio Grande do Norte,Aningis,8/15/1939,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36",89.8,158,-5.85755,-35.242584,O+,2012 BMW 525,TradingSwing.com.br,Clerical worker supervisor
52,female,Brazil,Ms.,Ana,P,Fernandes,Rua Tupi 96,São José dos Pinhais,PR,Paraná,Butersomprom,6/10/1959,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Safari/605.1.15",99.9,159,-25.707107,-49.055966,O+,2009 Porsche Cayenne,VIPSaver.com.br,Patient representative
53,female,Brazil,Ms.,Letícia,C,Costa,Rua Antônio de Castro Pereira 1450,Bauru,SP,São Paulo,Incentens,3/8/2003,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36",64.0,170,-22.271718,-49.10097,O+,1997 Chrysler Grand Voyager,RecreationBike.com.br,Radio and telecommunications equipment installer
54,male,Brazil,Mr.,Enzo,D,Lima,Rua Augusto Conte 1423,Londrina,PR,Paraná,Sirks1983,7/27/1983,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",66.1,170,-23.535022,-51.021499,A+,2000 GAZ 3110,ConsumerDistrict.com.br,Heat treating equipment operator
55,female,Brazil,Mrs.,Alice,F,Pinto,Rua Cambuci 130,Duque de Caxias,RJ,Rio de Janeiro,Thickinvid,2/15/1982,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",95.4,164,-22.741474,-43.305922,B+,2008 Peugeot 308,HobbyPreview.com.br,Jailer
56,female,Brazil,Ms.,Manuela,S,Melo,Rua dos Prazeres 876,Petrolina,PE,Pernambuco,Thens1962,12/22/1962,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",59.1,168,-8.98896,-40.666311,O+,1998 Saab 9-5,VentLive.com.br,Floor broker
57,female,Brazil,Ms.,Isabella,B,Araujo,Rua Atílio Cavagnino 1000,Bauru,SP,São Paulo,Legreasing,5/18/1987,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",64.3,159,-22.212357,-49.124819,B+,1993 Lancia Thema,EverywhereRewards.com.br,Lead abatement worker
58,male,Brazil,Mr.,Carlos,S,Barbosa,Rua Teodoto Nogueira 1757,Marília,SP,São Paulo,Hisolinsts,11/17/1955,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",69.1,166,-22.168588,-49.953288,B+,1999 Nissan Sentra,ERSurgeon.com.br,Cafeteria cook
59,female,Brazil,Ms.,Marisa,A,Martins,Rua Monte Alegre 1621,Rio de Janeiro,RJ,Rio de Janeiro,Hiltat99,11/24/1999,Mozilla/5.0 (X11; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0,68.7,159,-23.00065,-43.303615,A+,2015 Porsche Cayman,FavoriteNewspaper.com.br,Floral designer
60,female,Brazil,Ms.,Tânia,S,Pinto,Rua Dois de Março 252,Joinville,SC,Santa Catarina,Pretrusiona,4/11/1986,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",53.6,154,-26.306995,-49.054,B+,1992 Chrysler Daytona,CosmeticsAlert.com.br,Cardiopulmonary technologist
61,male,Brazil,Mr.,Fábio,P,Gomes,Rua Dona Teodora 710,Porto Alegre,RS,Rio Grande do Sul,Quited04,1/9/2004,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",63.8,177,-30.02564,-51.091068,O+,1994 Dodge Stratus,ObesitySpray.com.br,Osteopathic doctor
62,male,Brazil,Mr.,João,B,Almeida,Rua Anicores 929,Santa Luzia,MG,Minas Gerais,Covid1970,6/6/1970,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0,64.1,169,-19.783097,-43.862104,B+,1992 Mazda MX-3,EmploymentFarm.com.br,Extruding and drawing machine setters
63,male,Brazil,Mr.,Rafael,A,Gomes,Avenida Delfinópolis 1625,Campo Grande,MS,Mato Grosso do Sul,Whough,6/18/1985,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36",70.9,170,-20.931582,-54.231057,A+,2010 Volvo XC90,FactFail.com.br,Real property assessor
64,female,Brazil,Mrs.,Marisa,R,Oliveira,Rua Manoel Urbano 1507,Manaus,AM,Amazonas,Turnintionce,6/12/1990,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,77.6,160,-2.68203,-60.208069,O+,1994 Saab 9000,DiningOpinions.com.br,Personal secretary
65,female,Brazil,Ms.,Julia,S,Melo,Rua Pilar 1553,Belo Horizonte,MG,Minas Gerais,Quiefurn,1/29/1994,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",88.0,171,-19.811996,-43.882248,B+,2007 Chrysler 300,ClickCrisis.com.br,Personal and home care aide
66,female,Brazil,Ms.,Clara,S,Rocha,Rua 69 1379,Goiânia,GO,Goiás,Younproyes,4/8/1941,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",89.0,154,-16.590864,-49.230909,AB+,2008 Mazda Etude,OsloDining.com.br,Measurer
67,female,Brazil,Ms.,Sofia,S,Castro,Travessa Antônio Ayoub 875,São Paulo,SP,São Paulo,Alcurrome,11/30/1965,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",59.7,157,-23.592785,-46.674784,A+,2008 Volkswagen Commercial,TastyShow.com.br,Agricultural engineer
68,male,Brazil,Mr.,Carlos,M,Carvalho,Rua Doutor Mário Negócio 815,Natal,RN,Rio Grande do Norte,Kined1964,11/18/1964,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",113.4,187,-5.883356,-35.191484,B+,1998 Chrysler Chronos,JudoChat.com.br,Environmental engineer
69,female,Brazil,Mrs.,Beatrice,C,Cardoso,Rua Moisés Alexandrino da Silva 1189,São Paulo,SP,São Paulo,Foub1952,6/11/1952,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",85.0,165,-23.697531,-46.71412,A+,2011 Opel Agila,PremiumAdvantages.com.br,Electromechanical equipment assembler
70,male,Brazil,Mr.,Matheus,A,Carvalho,Rua Ari de Souza Arantes 1358,Itapetininga,SP,São Paulo,Butc1992,5/28/1992,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",64.1,175,-23.610843,-48.102677,A+,2004 Chevrolet Uplander,NationalSpokesman.com.br,Clinical laboratory technologist
